"Started At (CET)","Ended At (CET)","Duration (Minutes)","Location","Saved Location","Latitude","Longitude","Supercharger","Odometer (km)","Energy Added (kWh)","Energy Used (kWh)","Rated Range Added (km)","Starting Battery (%)","Ending Battery (%)","Cost","Cost Per kWh"
"2024-01-05 10:12","2024-01-05 10:32",19,"Nellinger Straße 22, 89188 Merklingen, Germany",,48.51633,9.757481,true,6170.9,28.43,31.2,190.69,35,71,14.26,0.45
"2024-01-06 11:20","2024-01-06 12:11",50,"Porscheplatz 5, 70435 Stuttgart, Germany",,48.834312,9.152498,false,6357.38,8.88,8.97,59.45,32,44,,
"2024-01-06 13:04","2024-01-06 13:37",33,"Hohenaspen 40, 69231 Rauenberg, Germany",,49.273937,8.695297,true,6447.1,49.54,54.47,332.28,17,80,24.3,0.44
"2024-01-06 16:37","2024-01-06 17:05",28,"An Der Patria 15a, 50374 Erftstadt, Germany",,50.796574,6.77948,true,6706.38,50.23,53.54,336.61,11,75,27.03,0.5
"2024-01-06 19:05","2024-01-06 23:53",287,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208317,4.406777,false,6909.28,53.14,54.44,355.92,23,90,19.05,0.34
"2024-01-10 20:50","2024-01-10 22:17",86,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20833,4.406759,false,6959.01,15.23,16.29,101.76,71,90,5.21,0.31
"2024-01-11 07:25","2024-01-11 07:28",3,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20833,4.406759,false,6959.01,0.13,0.51,0.84,90,90,0.16,0.31
"2024-01-11 19:52","2024-01-11 20:43",50,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208305,4.406846,false,6995.75,9.35,9.38,62.33,78,90,3,0.31
"2024-01-12 07:25","2024-01-12 07:28",3,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208305,4.406846,false,6995.75,0.27,0.58,1.82,90,90,0.19,0.32
"2024-01-12 14:07","2024-01-12 17:28",201,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20833,4.406728,false,7189.36,37.42,37.92,250.98,43,90,12.14,0.32
"2024-01-14 18:10","2024-01-14 21:04",174,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208313,4.406762,false,7332.31,32.4,32.74,216.83,50,90,10.48,0.32
"2024-01-18 16:00","2024-01-18 17:58",118,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208317,4.406776,false,7416.13,21.89,22.21,146.63,63,90,7.11,0.32
"2024-01-21 09:31","2024-01-21 12:06",154,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208324,4.406741,false,7455.94,21.6,23.56,144.44,74,100,7.54,0.32
"2024-01-24 17:15","2024-01-24 19:08",113,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208317,4.406793,false,7580.49,21.23,21.46,141.98,64,90,6.87,0.32
"2024-01-26 13:47","2024-01-26 13:50",3,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208317,4.406793,false,7580.49,0.53,0.53,3.52,90,90,0.17,0.32
"2024-01-26 22:22","2024-01-27 00:19",117,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20832,4.406792,false,7671.64,21.86,22.21,146.53,62,90,7.11,0.32
"2024-01-27 21:30","2024-01-27 22:57",87,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208324,4.406743,false,7749.7,16.12,16.42,107.99,70,90,5.25,0.31
"2024-01-29 15:33","2024-01-29 18:38",185,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208336,4.406764,false,7919.92,33.88,34.88,227.48,47,90,11.16,0.31
"2024-01-31 18:20","2024-01-31 19:00",39,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20834,4.406796,false,8080.27,4.01,4.02,27.2,46,51,1.28,0.31
"2024-01-31 19:00","2024-01-31 22:20",199,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20834,4.406796,false,8080.27,36.33,37.32,243.44,51,97,11.94,0.31
"2024-02-01 04:44","2024-02-01 06:27",102,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.2083,4.406761,false,8163.18,18.98,19.34,127.23,71,95,6.19,0.32
"2024-02-01 13:47","2024-02-01 19:01",313,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208244,4.407203,false,8425.14,45.82,46.92,306.89,31,89,15.01,0.31
"2024-02-03 09:35","2024-02-03 11:18",103,"Square Du Solbosch - Solbossquare 25, 1050 Ixelles, Brussels-Capital, Belgium",,50.81113,4.385772,false,8477.39,12.08,12.38,80.74,75,90,,
"2024-02-04 07:53","2024-02-04 09:13",79,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208313,4.406751,false,8547.08,14.67,14.93,98.67,72,90,4.78,0.32
"2024-02-07 21:29","2024-02-07 23:48",138,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208294,4.406771,false,8668.48,25.99,26.34,174.05,58,90,8.43,0.32
"2024-02-08 22:22","2024-02-09 01:56",213,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208298,4.406736,false,8856.42,39.55,40.57,265.06,40,90,12.98,0.31
"2024-02-09 09:22","2024-02-09 09:24",1,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208298,4.406736,false,8856.42,0.25,0.25,1.69,90,90,0.08,0.32
"2024-02-09 12:58","2024-02-09 13:02",3,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208214,4.407177,false,8939.24,0.44,0.45,2.67,69,69,0.14,0.31
"2024-02-09 13:04","2024-02-09 14:55",111,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208214,4.407177,false,8939.24,16.15,16.61,107.95,69,90,5.32,0.32
"2024-02-09 18:08","2024-02-09 18:41",32,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20832,4.406745,false,8969.53,5.92,6.05,39.59,82,90,1.94,0.32
"2024-02-11 18:35","2024-02-11 18:37",1,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20832,4.406745,false,8969.53,0.27,0.28,1.83,90,90,0.09,0.32
"2024-02-18 12:39","2024-02-18 12:43",3,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208252,4.40722,false,9098.79,0.28,0.33,1.69,56,56,0.11,0.33
"2024-02-18 12:44","2024-02-18 13:13",29,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208252,4.40722,false,9098.79,4.19,4.3,28.02,56,61,1.38,0.32
"2024-02-18 13:15","2024-02-18 15:17",122,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208252,4.40722,false,9098.79,17.75,18.01,119.12,61,83,5.76,0.31
"2024-02-18 17:58","2024-02-18 20:31",153,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20833,4.406739,false,9201.18,28.14,28.97,188.92,54,90,9.27,0.31
"2024-02-20 17:11","2024-02-20 18:14",63,"Rue Du Marché Aux Herbes - Grasmarkt 104, 1000 Brussels, Brussels-Capital, Belgium",,50.846725,4.356127,false,9271.3,7.21,7.21,48.31,81,90,,
"2024-02-23 20:06","2024-02-23 20:38",31,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208317,4.406778,false,9397.4,5,5.17,33.22,55,61,1.66,0.32
"2024-02-23 20:38","2024-02-23 22:43",124,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208317,4.406778,false,9397.4,22.71,23.34,152.48,61,90,7.47,0.32
"2024-02-29 08:45","2024-02-29 12:37",231,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208237,4.407173,false,9586.05,33.81,34.34,226.98,41,83,10.99,0.32
"2024-02-29 12:38","2024-02-29 13:16",37,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208237,4.407173,false,9586.05,5.34,5.58,35.76,83,90,1.79,0.32
"2024-03-02 17:24","2024-03-02 19:24",120,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20824,4.407205,false,9682.06,17.64,17.9,118.32,63,85,5.73,0.32
"2024-03-02 19:26","2024-03-02 19:54",27,"Mertens En Torfsstraat 44, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208244,4.407203,false,9682.06,3.93,4.08,26.38,85,90,1.3,0.31
"2024-03-03 17:55","2024-03-03 20:27",151,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20831,4.406771,false,9836.87,28.04,28.66,187.78,55,90,9.17,0.31
"2024-03-09 18:02","2024-03-09 19:41",99,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.20829,4.406754,false,9922.27,18.55,18.71,124.69,67,90,5.99,0.32
"2024-03-10 15:51","2024-03-10 16:59",67,"Vogelzang 4, 2300 Turnhout, Antwerp, Belgium","Oma en Wawa Turnhout",51.31996,4.943002,false,9984.26,12.37,12.47,82.58,75,90,,
"2024-03-11 20:37","2024-03-11 22:06",88,"Mertens En Torfsstraat 36, 2018 Antwerpen, Antwerp, Belgium","DMA03",51.208282,4.406768,false,10077.85,16.6,16.68,111.29,69,90,5.34,0.32
